あいこ
あいす
あおり
あか
あかす
あかぬける
あかね
あかり
あか抜ける
あがめる
あき
あきこ
あきらめ
あきれ果てる
あきれ返る
あき竹城
あくせく
あくどい
あぐねる
あぐら
あけくれる
あけすけ
あけっぴろげ
あご
あさって
あさまい
あさましい
あさみ
あさり
あさる
あざ
あざける
あざなう
あざむく
あざやか
あし
あしなが
あじさい
あじる
あずかる
あずき
あずける
あずさ
あぜん
あぜ道
あそぶ
あたしゃ
あたたまる
あたためる
あたふた
あたらしい
あたり前
あたれる
あだっぽい
あっか
あったまる
あつい
あつくるしい
あつまる
あつめる
あつらえる
あてこむ
あてつける
あてはめる
あでやか
あとあと
あなた任せ
あなどる
あなどれる
あはれ
あばく
あばずれ
あばた
あばら家
あばれる
あひる
あびせる
あふる
あふれ
あふれでる
あぶなっかしい
あぶりだす
あぶり出し
あぶれる
あべこべ
あまい
あます
あまた
あみ
あめ
あやい
あやうい
あやかし
あやかる
あやこ
あやす
あやつる
あやの
あやまつ
あやまる
あやめる
あや子
あゆ
あゆみ
あらあら
あらい
あらう
あらた
あらまし
あらわれ
あら捜し
ありあまる
ありがたがる
ありがた迷惑
ありったけ
ありつく
あるじ
ある時
あれしき
あわ
あわい
あわさる
あわせ鏡
あわただしい
あわてふためく
あわわ
あんこ
あんこう
あんさん
あんど
あんばい
あんまり
あん馬
あ然
いいきかせる
いいまわす
いいよる
いい気
いおう
いかがわしい
いかける
いかさま
いかだ
いかつい
いかり
いが
いがみあう
いき
いきがる
いきつく
いきつける
いきまく
いきむ
いきり立つ
いけすかない
いこう
いこむ
いさかい
いさぎよい
いさむ
いさめる
いざる
いしだ
いじくる
いじましい
いじり
いす
いする
いずみ
いそ
いそがしい
いそぐ
いそしむ
いたこ
いたし方
いただき
いためる
いたわしい
いだく
いだける
いちいち
いちげん
いちご
いちご白書
いちず
いちど
いちゃつく
いちゃもん
いち子
いっき
いっこ
いっす
いっち
いってい
いってき
いってん
いっぺん
いっぽう
いつく
いつくしむ
いつみ
いつわる
いでたつ
いとしい
いなか
いなせ
いなむ
いにしえ
いのる
いの一番
いばらき
いばる
いびる
いふ
いぶ
いぶかしい
いぶかる
いぶき
いましめる
いまどき
いまわしい
いみい
いやがらせ
いやがる
いやしい
いやす
いや増す
いらう
いらだつ
いらっしゃい
いら立ち
いら立つ
いれかえる
いれかわる
いろどる
いろは
いわく付き
いわさき
い服
い死
うえる
うかうか
うかつ
うかぶ
うかる
うがつ
うけあう
うけいれる
うけつける
うけとめる
うけとる
うごかす
うごく
うさ
うさぎ
うさんい
うしなう
うじ
うじうじ
うじ虫
うすめる
うすれる
うす汚い
うず
うずうず
うずくまる
うずまく
うずめる
うずら
うせる
うそぶく
うたい文句
うたかた
うたた寝
うだる
うちあげる
うちかつ
うちこむ
うちわ
うっかり
うっする
うったえる
うっちゃる
うっ憤
うっ積
うつくしい
うつす
うつつ
うつぶせる
うつりかわる
うつろ
うつ伏せる
うてる
うとい
うとうと
うとましい
うとむ
うど
うどん
うどん粉
うながす
うなぎ
うなじ
うなづける
うな重
うに
うぬぼれる
うの
うまみ
うまる
うまれる
うめ
うめき声
うめく
うめこむ
うめる
うらぎる
うらはら
うらぶれる
うらみ
うらめしい
うら寂しい
うら若い
うり二つ
うるう年
うるささ
うるむ
うれし泣き
うれる
うろ
うろちょろ
うわつく
うわの空
うんざり
えい
えがく
えぐれる
えじき
えづく
えな
えび
えびす
えり子
えん
えんか
えんぺいごう
えん罪
おいこむ
おいちゃん
おいてきぼり
おいてけぼり
おいで
おいやる
おいらん
おうむ
おえつ
おおきい
おおげさ
おおしい
おおせる
おおっぴら
おおまか
おかあさんといっしょ
おかき
おがむ
おきかえる
おくび
おくりだす
おこし
おご
おごそか
おごり
おごる
おさない
おさらば
おさん
おし
おしっこ
おしつける
おしどり夫婦
おしむ
おしゃま
おしり
おじゃん
おじや
おじる
おす
おすそ分け
おせる
おせん
おぜん立て
おそい
おそう
おそまつ
おそれいる
おそれる
おそろい
おためごかし
おだ
おだてる
おちこぼれる
おちこむ
おちつく
おちぶれる
おちょこ
おちょぼ口
おっかける
おっかない
おっきい
おっしゃれる
おっちょこちょい
おっぱじめる
おっぽりだす
おつき
おつむ
おつもり
おでこ
おでん
おとしめる
おとす
おとる
おどる
おどれる
おどろく
おなご
おなじ
おなべ
おなら
おにぎり
おねがい
おの
