あいかわる
あいくるしい
あいこ
あいす
あおり
あか
あかす
あかぬける
あかね
あかり
あかるい
あか抜ける
あがめる
あがりこむ
あき
あきこ
あきの
あきらめ
あきれ果てる
あきれ返る
あくせく
あぐねる
あぐら
あけくれる
あけすけ
あけっぴろげ
あご
あさい
あさって
あさまい
あさましい
あさみ
あさり
あさる
あざ
あざける
あざなう
あざやか
あしなが
あじさい
あじる
あじわう
あす
あすか
あずかる
あずき
あずける
あずさ
あぜん
あぜ道
あたためる
あたらしい
あたり前
あだっぽい
あっか
あっけ
あったまる
あっ気
あつい
あつかましい
あつらえる
あてこむ
あてずっぽう
あてつける
あてはめる
あでやか
あとあと
あとずさる
あな
あなた任せ
あなどる
あなどれる
あのまま
あはれ
あばく
あばずれ
あばた
あばら家
あひる
あびせる
あふれでる
あぶりだす
あぶり出し
あぶれる
あべこべ
あまい
あまた
あみ
あめ
あやい
あやうい
あやかし
あやす
あやつる
あやまつ
あやまる
あやめる
あや子
あゆ
あゆみ
あゆむ
あらあら
あらい
あらいぐま
あらう
あらせる
あらた
あらまし
あらわれ
あら捜し
ありがたがる
ありがた迷惑
ありつく
ありのまま
ありま
あるく
あるじ
ある時
あわ
あわい
あわさる
あわせ鏡
あわただしい
あわてふためく
あわわ
あんこ
あんこう
あんさん
あんしん
あんじる
あんど
あんばい
あんまり
あん馬
いいきかせる
いいよる
いい気
いおう
いかさま
いかつい
いかり
いき
いきがる
いきつく
いきつける
いきまく
いきむ
いきり立つ
いくさ
いけい
いけすかない
いこう
いこむ
いさかい
いさぎよい
いさむ
いさめる
いざる
いしだ
いじける
いじましい
いす
いする
いずみ
いそ
いそがしい
いそぐ
いそしむ
いたこ
いためる
いたわしい
いだく
いだける
いちいち
いちげん
いちご
いちゃつく
いちゃもん
いっき
いっこ
いっす
いっする
いっち
いってい
いってき
いってん
いっぺん
いっぽう
いつく
いつくしむ
いつみ
いつわる
いでたつ
いどむ
いなか
いなせ
いなむ
いにしえ
いのる
いの一番
いばら
いばらき
いびき
いびる
いふ
いぶ
いぶかしい
いぶかる
いぶき
いましめる
いまどき
いまわしい
いみい
いやがらせ
いやがる
いやしい
いやす
いや増す
いらう
いらだたしい
いらだつ
いら立ち
いら立つ
いれかえる
いれかわる
いろどる
いろは
いわき
いわく付き
いわさき
いんちき
い服
い死
ういういしい
