,id,title,rate
165,165,orange－オレンジ－,3.4
166,166,わたしは、ダニエル・ブレイク,4.09
167,167,居眠り磐音,3.87
168,168,ツレがうつになりまして。,3.65
169,169,ゴーン・ガール,3.71
170,170,くちびるに歌を,4.23
171,171,真実,3.44
172,172,白ゆき姫殺人事件,3.24
173,173,それでもボクはやってない,4.16
174,174,日本で一番悪い奴ら,3.99
175,175,7番房の奇跡,4.17
176,176,ヒミズ,3.39
177,177,グラン・トリノ,4.38
178,178,ダークタワー,3.09
179,179,子宮に沈める,2.38
180,180,アナと雪の女王,3.66
181,181,EXIT,3.97
182,182,永遠の門　ゴッホの見た未来,3.35
183,183,劇場版シティーハンター 〈新宿プライベート・アイズ〉,4.35
184,184,ぼくは明日、昨日のきみとデートする,4.05
185,185,マレフィセント2,3.76
186,186,フラグタイム,4.35
187,187,“隠れビッチ”やってました。,3.55
188,188,最高の人生の見つけ方,3.6
189,189,最高の人生の見つけ方,3.6
190,190,マスカレード・ホテル,3.96
191,191,十二人の死にたい子どもたち,3.58
192,192,グレイテスト・ショーマン,4.28
193,193,ゾンビランド,3.74
194,194,アクアマン,3.95
195,195,コンフィデンスマンJP,4.03
196,196,キングダム,3.93
197,197,ペット・セメタリー,3.53
198,198,ペット・セメタリー,2.00
199,199,湯を沸かすほどの熱い愛,3.89
200,200,ターミネーター：新起動／ジェニシス,3.3
201,201,マリッジ・ストーリー,3.89
202,202,ダークナイト,4.39
203,203,幸福路のチー,4.5
204,204,ウインド・リバー,3.95
205,205,カメラを止めるな！,4.06
206,206,ライフ,3.32
207,207,阪急電車　片道15分の奇跡,4.03
208,208,人のセックスを笑うな,3.06
209,209,海を感じる時,2.50
210,210,どうしようもない恋の唄,3.01
211,211,通学シリーズ　通学電車,2.85
212,212,アイアムアヒーロー,3.42
213,213,ぼくらの7日間戦争,未評価
214,214,ビッグ・フィッシュ,4.09
215,215,パトリオット・デイ,3.93
216,216,百万円と苦虫女,3.91
217,217,リトル・ミス・サンシャイン,4.14
218,218,ジョン・ウィック,3.60
219,219,秘密　THE TOP SECRET,2.30
220,220,リップヴァンウィンクルの花嫁,3.84
221,221,ワイルド・スピード／スーパーコンボ,3.79
222,222,ゲット・アウト,3.72
223,223,コードネーム U.N.C.L.E.,3.90
224,224,HK／変態仮面,3.82
225,225,HK／変態仮面,3.82
226,226,母なる証明,3.86
227,227,スーサイド・スクワッド,3.12
228,228,響-HIBIKI-,4.00
229,229,ブラック・スワン,3.88
230,230,ルームメイト,2.93
231,231,ラブ・アクチュアリー,4.13
232,232,グリーン・インフェルノ,3.29
233,233,容疑者Xの献身,4.2
234,234,ターミネーター3,2.81
235,235,ジュマンジ／ウェルカム・トゥ・ジャングル,3.78
236,236,きみはいい子,3.9
237,237,男はつらいよ　お帰り 寅さん,4.38
238,238,読まれなかった小説,3.57
239,239,七つの会議,4.0
240,240,M／村西とおる狂熱の日々　完全版,3.29
241,241,はじまりのうた,4.16
242,242,高津川,4.31
243,243,劇場版 おっさんずラブ ～LOVE or DEAD～,2.71
244,244,ペンギン・ハイウェイ,3.87
245,245,ボーダー 二つの世界,3.59
246,246,アイ・フィール・プリティ！ 人生最高のハプニング,3.68
247,247,ルパン三世,2.56
248,248,フューリー,3.49
249,249,レ・ミゼラブル,4.15
250,250,アベンジャーズ／エンドゲーム,3.82
251,251,記憶にございません！,3.84
252,252,マッドマックス　怒りのデス・ロード,4.14
253,253,キャビン,3.29
254,254,THE WAVE　ウェイヴ,3.91
255,255,オペラ座の怪人,3.94
256,256,LUCY／ルーシー,2.9
257,257,女神の見えざる手,4.28
258,258,ピース オブ ケイク,3.24
259,259,ゾンビ・サファリパーク,3.29
260,260,映画 「聲の形」,4.12
261,261,ReLIFE リライフ,3.55
262,262,果し合い,4.07
263,263,インセプション,4.07
264,264,グランド・イリュージョン,3.67
265,265,アメリ,3.77
266,266,ハッピー・デス・デイ 2U,4.01
