,title,rate
814,RAILWAYS　49歳で電車の運転士になった男の物語,4.09
815,ボス・ベイビー,3.58
816,バンコック・デンジャラス,2.71
817,チャッピー,3.66
818,荊棘（ばら）の秘密,3.36
819,おおかみこどもの雨と雪,4.07
820,新宿スワンII,2.76
821,アメイジング・スパイダーマン2,3.45
822,桜姫,2.21
823,少林少女,1.84
824,東京ゴッドファーザーズ,4.14
825,プレイス・ビヨンド・ザ・パインズ／宿命,3.83
826,ノクターナル・アニマルズ,3.56
827,ノクターナル・アニマルズ,3.56
828,ダーク・シャドウ,2.76
829,メッセージ,3.57
830,雨の日は会えない、晴れた日は君を想う,3.56
831,モンスター,3.78
832,プリデスティネーション,3.79
833,新しき世界,4.4
834,グラン・ブルー完全版 -デジタル・レストア・バージョン-,4.0
835,フィールド・オブ・ドリームス,4.04
836,ジュラシック・ワールド,3.73
837,アベンジャーズ／インフィニティ・ウォー,4.22
838,エイス・グレード 世界でいちばんクールな私へ,3.54
839,劇場版『ONE PIECE STAMPEDE』,3.89
840,ルパン三世vs名探偵コナン THE MOVIE,3.67
841,アメリカン・スナイパー,4.01
842,リトル・フォレスト　夏・秋,4.09
843,リトル・フォレスト　夏・秋,4.09
844,レッド・ダイヤモンド,2.9
845,危険な情事,3.78
846,GANTZ:O,4.07
847,シェフ　三ツ星フードトラック始めました,4.2
848,メリー・ポピンズ リターンズ,3.82
849,L.A.コンフィデンシャル,4.17
850,サスペクト・ゼロ,2.79
851,カイジ2～人生奪回ゲーム～,3.21
852,海賊じいちゃんの贈りもの,3.64
853,ワンダーウーマン,3.77
854,ダイ・ハード,4.47
855,バードマン　あるいは（無知がもたらす予期せぬ奇跡）,3.36
856,ハンガー・ゲーム FINAL： レボリューション,3.07
857,バーティカル・リミット,3.23
858,悪魔のいけにえ,3.79
859,くるみ割り人形と秘密の王国,3.19
860,サマーウォーズ,4.18
861,永遠の0,3.96
862,アンナ・カレーニナ,3.23
863,秘められた遊戯,2.5
864,リトル・ダンサー,4.45
865,セブンティーン・アゲイン,4.17
866,遊星からの物体X　ファーストコンタクト,3.38
867,羅小黒戦記,4.67
868,バットマン vs スーパーマン　ジャスティスの誕生,3.21
869,幸せのレシピ,3.66
870,否定と肯定,3.7
871,バレット・オブ・ラヴ,3.4
872,パリに見出されたピアニスト,3.81
873,塔の上のラプンツェル,4.27
874,アダムス・ファミリー,3.71
875,プリティ・ウーマン,3.95
876,3D彼女　リアルガール,3.54
877,フィフス・エレメント,3.62
878,グッドモーニングショー,2.86
879,アダムズ・アップル,4.16
880,砂の器,4.24
881,ロスト・マネー　偽りの報酬,2.5
882,メランコリア,3.23
883,黄泉がえり,3.79
884,沈黙、愛,3.65
885,英雄は嘘がお好き,3.45
886,ファニーゲーム,3.4
887,大洗にも星はふるなり,3.22
888,グーニーズ,3.9
889,トワイライト ささらさや,3.55
890,ひるなかの流星,3.2
891,スモーク,4.04
892,ミート・ザ・ペアレンツ,3.5
893,ファニーゲーム,3.4
894,ロスト・イン・トランスレーション,3.28
895,Diner　ダイナー,3.16
896,友だちのパパが好き,3.77
897,鍵泥棒のメソッド,4.11
898,デビルマン,1.42
899,エンジェル、見えない恋人,3.35
900,映画クレヨンしんちゃん　嵐を呼ぶアッパレ！戦国大合戦,4.53
901,ロボット2.0,3.36
902,二ノ国,2.53
903,ナイトクローラー,3.83
904,ボクの妻と結婚してください。,3.28
905,ヘイトフル・エイト,3.52
906,名探偵コナン　ゼロの執行人（しっこうにん）,4.09
907,コンフェッション,3.15
908,白い肌の異常な夜,3.58
909,キック・アス,4.18
910,ローズマリーの赤ちゃん,3.68
911,惡の華,3.45
912,パパが遺した物語,3.43
913,ヒキタさん！ ご懐妊ですよ,3.72
914,ブラック会社に勤めてるんだが、もう俺は限界かもしれない,3.45
915,アンタッチャブル,4.27
916,爆裂魔神少女 バーストマシンガール,2.71
917,COLD WAR　あの歌、2つの心,3.9
918,ラーメン食いてぇ！,3.58
919,ライフ・オブ・パイ／トラと漂流した227日,3.74
920,インファナル・アフェア,4.41
921,幸せのポートレート,3.05
922,ザ・エージェント,3.81
923,関ヶ原,3.1
924,リリーのすべて,3.86
925,男子高校生の日常,2.39
926,デトロイト,3.75
927,ハードロマンチッカー,2.96
928,ミッション：8ミニッツ,4.05
929,本能寺ホテル,3.79
930,人狼ゲーム　ビーストサイド,3.11
931,モテキ,3.59
932,君は月夜に光り輝く,3.53
933,散歩する侵略者,3.17
934,リリイ・シュシュのすべて,3.53
935,ペット,3.39
936,シークレット・スーパースター,4.33
937,アンノウン,3.58
938,インデペンデンス・デイ,3.75
939,私は絶対許さない,3.19
940,ロリータ,3.25
941,タイヨウのうた,4.2
942,ロッキー,4.35
943,アップグレード,4.07
944,きみがくれた物語,3.68
945,シークレット ウインドウ,3.08
946,ミスティック・リバー,3.72
947,劇場版パタリロ！,3.92
948,ハンニバル,3.58
949,アメリカン・アサシン,3.49
950,ゴーストバスターズ,3.43
951,g＠me．,3.43
952,蜜のあわれ,2.98
953,最低。,2.89
954,パレード,3.61
955,アフターマス,2.96
956,シビルの部屋,3.0
957,余命1ヶ月の花嫁,2.84
958,ディセント,3.59
959,ファンタスティック・ビーストと黒い魔法使いの誕生,3.49
960,親愛なるきみへ,3.4
961,THE 有頂天ホテル,3.36
962,パージ：アナーキー,3.46
963,Dear Friends　ディア フレンズ,3.41
964,エージェント・ウルトラ,3.07
965,名前,3.78
