あいまい
あおり
あおる
あがめる
あき
あきこ
あきらめる
あきれる
あきれ果てる
あく
あくせく
あこがれ
あさみ
あざ
あしらう
あたる
あたれる
あだ名
あだ討ち
あっけない
あっせん
あつい
あてがう
あと
あまり
あむ
あや
あやふや
あゆ
あゆみ
あゆむ
あり
ありつく
あるじ
あん
あんど
いきさつ
いざこざ
いじめ
いじめる
いじる
いずみ
いたずら
いたわる
いち
いつか
いつくしむ
いつみ
いぶき
いま
いら立ち
いろいろ
いわき
いん石
うかがう
うごめく
うさぎ
うさんくさい
うず
うたう
うつ病
うなぎ
うなされる
うまい
うらやましい
うらやむ
うり二つ
うれしい
えたい
えむ
えり
える
えんさ
えん罪
おい
おいしい
おいらん
おかげ
おかしい
おかみ
おきる
おしゃれ
おじ
おせっかい
おそい
おぞましい
おだやか
おっぱい
おと
おとぎ話
おとなしい
おとる
おののく
おばさん
おびただしい
おぼれる
おまけ
おまじない
およぶ
おり
おる
お告げ
お嬢様
お宝
お客
お家
お尋ね者
お洒落
お笑い
お腹
お菓子
お金
かいがいしい
かお
かおり
かき鳴らす
かぎ
かく
かぐ
かけ離れる
かすめる
かたわら
かっこよい
かなう
かなえる
かみしめる
かみつく
かみ合う
かむ
かられる
かるた
かれん
かわいい
かわいがる
かわいらしい
かわす
かんおけ
がいせん
がく
がさつ
がん
きい
きそん
きた
きょう
きらめく
きりん
きる
きれい
くい
くせ者
くっつける
くも膜
くらます
くらむ
くる
くるみ
くれる
ぐらつく
けい
けいれん
けい子
けが
けたたましい
けなげ
ける
けんか
こう
こうかつ
こうむる
こき使う
こども
こねる
こはる
こもる
こらえる
ころす
こわもて
こんすい
さかのぼる
さかのぼれる
さげすむ
ささげる
ささやく
さざ波
さすらう
さとみ
さび
さぼる
さみしい
さやか
さらう
さらす
しかける
しかる
しきたり
しく
しぐさ
しげい
しずく
したたか
したためる
しだく
しっそう
しっと
しつこい
しつよう
してやる
しのぎ
しのぶ
しゃべる
しょ
しょうかい
しら
しれる
しんかん
しんし
しんのすけ
じみる
じゅん
すい臓
すがる
すき
すご腕
すさまじい
すずらん
すてき
すむ
すれ違い
すれ違う
ずれ
せいさん
せかす
せき
せんぼう
そっけ
そのもの
その頃
そば
そびえ立つ
それなり
そろう
たいじ
たか子
たくさん
たくましい
たぐい
たぐる
たじろぐ
たたえる
ただ中
たちこめる
たつ
たどる
たま
ためらう
ため込む
たやすい
だまし取る
ちょう
ちょうあい
ちらつく
ちる
ついて行く
つかめる
つくる
つけ
つける
つつましい
つづる
つて
つながり
つながる
つなぐ
つぶす
つぶやく
つぶれる
つめ
つるむ
ていねい
とおる
ときめき
ときめく
とこ
ところ
とどろかす
とどろかせる
とどろく
とびだす
とら
とりつく
とりまく
とんでも
どうせい
どしゃ降り
どら
どん底
なくす
なくなる
なじむ
なじめる
なぜだか
なつ
なつく
なにげない
なまめかしい
なみ
なりすます
にがい
にぎわう
にじむ
にらみ合う
ぬる
のく
のこす
のしあがる
のし上がる
のぞく
のっけ
のど
のどか
ののしる
のび太
のぼる
のみ
のみ込む
のむ
のめり込む
はう
はく奪
はぐくむ
はぐれる
はざま
はじける
はせる
はねる
はびこる
はめ
はめる
はる
ばあちゃん
ばい
ばくだい
ばく大
ひかり
ひき逃げ
ひしぐ
ひそむ
ひそめる
ひたむき
ひっくり返す
ひったくり
ひっぱく
ひと
ひとつ
ひとり
ひどい
ひねくれる
ひよこ
ひろ
ひろい
ひろし
ひろみ
ひんす
ふう
ふうび
ふき
ふける
ふさぐ
ふさわしい
ふじ
ふた
ふたり
ふち
ふて寝
ふるまう
ふれあう
ぶす
ぶち込む
ぶつ
ぶつかる
ぶる
へきえき
へこむ
ほうふつ
ほうぼう
ほくそ笑む
ほころび
ほしい
ほた
ほとり
ほほ笑み
ほり
ほれる
ほんろう
ぼうぜん
ぼっぱつ
ぼる
まう
まかせる
まく
まさこ
まさよ
まじめ
まっとう
まとも
まね
まひ
まま
ままならない
まみ
まみれる
まゆ
まりえ
まれ
まんえん
みさえ
みち
みつ
みなす
みね
みゆき
みる
むごい
むつまじい
むなしい
めい
めいそう
めでたい
もぐり込む
もたらす
もちかける
もつ
もてあそぶ
もてはやす
もと
もどかしい
もの
もの静か
もむ
もめ事
もも
もやし
もらう
もらえる
やけ酒
やせる
やむを得ない
やめる
ややこしい
やり手
やり方
やり直す
やり遂げる
やり過ごす
やるせない
やる気
ゆがむ
ゆきの
ゆく
ゆり子
ゆる
ゆれる
よい
よう子
よぎる
よだつ
よみがえる
よる
らんまん
りえ
りこ
りん
れい
れき
わか
わがまま
わが子
わき
わざ
わたる
わりない
アイアン
アイザック
アイスランド
アイデア
アイドル
アイリス
アイリーン
アイン
アカネ
アキ
アキレス
アキレス腱
アクシデント
アクション
アクセス
アシスタント
アジア
アジト
アタック
アダム
アップ
アトラス
アドルフ
アナ
アナリスト
アニメ
アニメーション
アネモネ
アバンチュール
アパラチア
アパルトヘイト
アパート
アヒル
アフガニスタン
アフリカ
アプローチ
アマ
アマゾン
アミューズメント
アムステルダム
アメリカン
アメリカンフットボール
アメリカ合衆国
アメリカ大使館
アラジン
アラスカ
アラブ
アラン
アリ
アルコール
アルツハイマー
アルバニア
アルバム
アルバート
アルフレッド
アルベールビル
アレクサンダー
アレックス
アレン
アンケート
アンゴラ
アンデス
アンドレ
アンナ
アンバー
アーケード
アーサー
アート
アームストロング
アール
イエス
